date,weekday,datename,weekend
2017-11-19,Sunday,,1.0
2017-11-20,Monday,,
2017-11-21,Tuesday,,
2017-11-22,Wednesday,,
2017-11-23,Thursday,,
2017-11-24,Friday,,
2017-11-25,Saturday,,1.0
2017-11-26,Sunday,,1.0
2017-11-27,Monday,,
2017-11-28,Tuesday,,
2017-11-29,Wednesday,,
2017-11-30,Thursday,,
2017-12-01,Friday,,
2017-12-02,Saturday,,1.0
2017-12-03,Sunday,,1.0
2017-12-04,Monday,,
2017-12-05,Tuesday,,
2017-12-06,Wednesday,,
2017-12-07,Thursday,,
2017-12-08,Friday,,
2017-12-09,Saturday,,1.0
2017-12-10,Sunday,,1.0
2017-12-11,Monday,,
2017-12-12,Tuesday,,
2017-12-13,Wednesday,,
2017-12-14,Thursday,,
2017-12-15,Friday,,
2017-12-16,Saturday,,1.0
2017-12-17,Sunday,,1.0
2017-12-18,Monday,,
2017-12-19,Tuesday,,
2017-12-20,Wednesday,,
2017-12-21,Thursday,,
2017-12-22,Friday,,
2017-12-23,Saturday,,1.0
2017-12-24,Sunday,,1.0
2017-12-25,Monday,기독탄신일,1.0
2017-12-26,Tuesday,,
2017-12-27,Wednesday,,
2017-12-28,Thursday,,
2017-12-29,Friday,,
2017-12-30,Saturday,,1.0
2017-12-31,Sunday,,1.0
2018-01-01,Monday,1월1일,1.0
2018-01-02,Tuesday,,
2018-01-03,Wednesday,,
2018-01-04,Thursday,,
2018-01-05,Friday,,
2018-01-06,Saturday,,1.0
2018-01-07,Sunday,,1.0
2018-01-08,Monday,,
2018-01-09,Tuesday,,
2018-01-10,Wednesday,,
2018-01-11,Thursday,,
2018-01-12,Friday,,
2018-01-13,Saturday,,1.0
2018-01-14,Sunday,,1.0
2018-01-15,Monday,,
2018-01-16,Tuesday,,
2018-01-17,Wednesday,,
2018-01-18,Thursday,,
2018-01-19,Friday,,
2018-01-20,Saturday,,1.0
2018-01-21,Sunday,,1.0
2018-01-22,Monday,,
2018-01-23,Tuesday,,
2018-01-24,Wednesday,,
2018-01-25,Thursday,,
2018-01-26,Friday,,
2018-01-27,Saturday,,1.0
2018-01-28,Sunday,,1.0
2018-01-29,Monday,,
2018-01-30,Tuesday,,
2018-01-31,Wednesday,,
2018-02-01,Thursday,,
2018-02-02,Friday,,
2018-02-03,Saturday,,1.0
2018-02-04,Sunday,,1.0
2018-02-05,Monday,,
2018-02-06,Tuesday,,
2018-02-07,Wednesday,,
2018-02-08,Thursday,,
2018-02-09,Friday,,
2018-02-10,Saturday,,1.0
2018-02-11,Sunday,,1.0
2018-02-12,Monday,,
2018-02-13,Tuesday,,
2018-02-14,Wednesday,,
2018-02-15,Thursday,설날,1.0
2018-02-16,Friday,설날,1.0
2018-02-17,Saturday,설날,1.0
2018-02-18,Sunday,,1.0
2018-02-19,Monday,,
2018-02-20,Tuesday,,
2018-02-21,Wednesday,,
2018-02-22,Thursday,,
2018-02-23,Friday,,
2018-02-24,Saturday,,1.0
2018-02-25,Sunday,,1.0
2018-02-26,Monday,,
2018-02-27,Tuesday,,
2018-02-28,Wednesday,,
2018-03-01,Thursday,삼일절,1.0
2018-03-02,Friday,,
2018-03-03,Saturday,,1.0
2018-03-04,Sunday,,1.0
2018-03-05,Monday,,
2018-03-06,Tuesday,,
2018-03-07,Wednesday,,
2018-03-08,Thursday,,
2018-03-09,Friday,,
2018-03-10,Saturday,,1.0
2018-03-11,Sunday,,1.0
2018-03-12,Monday,,
2018-03-13,Tuesday,,
2018-03-14,Wednesday,,
2018-03-15,Thursday,,
2018-03-16,Friday,,
2018-03-17,Saturday,,1.0
2018-03-18,Sunday,,1.0
2018-03-19,Monday,,
2018-03-20,Tuesday,,
2018-03-21,Wednesday,,
2018-03-22,Thursday,,
2018-03-23,Friday,,
2018-03-24,Saturday,,1.0
2018-03-25,Sunday,,1.0
2018-03-26,Monday,,
2018-03-27,Tuesday,,
2018-03-28,Wednesday,,
2018-03-29,Thursday,,
2018-03-30,Friday,,
2018-03-31,Saturday,,1.0
2018-04-01,Sunday,,1.0
2018-04-02,Monday,,
2018-04-03,Tuesday,,
2018-04-04,Wednesday,,
2018-04-05,Thursday,,
2018-04-06,Friday,,
2018-04-07,Saturday,,1.0
2018-04-08,Sunday,,1.0
2018-04-09,Monday,,
2018-04-10,Tuesday,,
2018-04-11,Wednesday,,
2018-04-12,Thursday,,
2018-04-13,Friday,,
2018-04-14,Saturday,,1.0
2018-04-15,Sunday,,1.0
2018-04-16,Monday,,
2018-04-17,Tuesday,,
2018-04-18,Wednesday,,
2018-04-19,Thursday,,
2018-04-20,Friday,,
2018-04-21,Saturday,,1.0
2018-04-22,Sunday,,1.0
2018-04-23,Monday,,
2018-04-24,Tuesday,,
2018-04-25,Wednesday,,
2018-04-26,Thursday,,
2018-04-27,Friday,,
2018-04-28,Saturday,,1.0
2018-04-29,Sunday,,1.0
2018-04-30,Monday,,
2018-05-01,Tuesday,,
2018-05-02,Wednesday,,
2018-05-03,Thursday,,
2018-05-04,Friday,,
2018-05-05,Saturday,어린이날,1.0
2018-05-06,Sunday,,1.0
2018-05-07,Monday,대체휴무일,1.0
2018-05-08,Tuesday,,
2018-05-09,Wednesday,,
2018-05-10,Thursday,,
2018-05-11,Friday,,
2018-05-12,Saturday,,1.0
2018-05-13,Sunday,,1.0
2018-05-14,Monday,,
2018-05-15,Tuesday,,
2018-05-16,Wednesday,,
2018-05-17,Thursday,,
2018-05-18,Friday,,
2018-05-19,Saturday,,1.0
2018-05-20,Sunday,,1.0
2018-05-21,Monday,,
