,MSRDT_DE,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
4390,20170423,송파구,0.024,0.046,0.5,0.006,58.0,22.0
4429,20170424,송파구,0.031,0.036000000000000004,0.5,0.005,53.0,20.0
4468,20170425,송파구,0.036000000000000004,0.040999999999999995,0.5,0.006,67.0,46.0
4507,20170426,송파구,0.017,0.042,0.5,0.004,49.0,15.0
4546,20170427,송파구,0.021,0.04,0.5,0.005,52.0,14.0
4585,20170428,송파구,0.026000000000000002,0.045,0.7,0.006,75.0,23.0
4624,20170429,송파구,0.03,0.037000000000000005,0.6,0.006,70.0,25.0
4663,20170430,송파구,0.023,0.07400000000000001,0.7,0.006,103.0,50.0
4702,20170501,송파구,0.028999999999999998,0.055999999999999994,0.7,0.005,95.0,46.0
4741,20170502,송파구,0.046,0.040999999999999995,0.7,0.006,106.0,46.0
4780,20170503,송파구,0.044000000000000004,0.049,0.7,0.006,86.0,35.0
4819,20170504,송파구,0.040999999999999995,0.032,0.6,0.005,73.0,33.0
4858,20170505,송파구,0.021,0.038,0.4,0.005,65.0,26.0
4897,20170506,송파구,0.013000000000000001,0.046,0.4,0.005,243.0,24.0
4936,20170507,송파구,0.019,0.045,0.4,0.005,112.0,16.0
4975,20170508,송파구,0.035,0.042,0.6,0.006,194.0,42.0
5014,20170509,송파구,0.035,0.022000000000000002,0.5,0.006,136.0,33.0
5053,20170510,송파구,0.023,0.028999999999999998,0.4,0.004,42.0,19.0
5092,20170511,송파구,0.039,0.027999999999999997,0.6,0.005,75.0,35.0
5131,20170512,송파구,0.042,0.028999999999999998,0.7,0.006,78.0,46.0
5170,20170513,송파구,0.025,0.038,0.5,0.004,59.0,28.0
5209,20170514,송파구,0.013999999999999999,0.043,0.4,0.004,70.0,17.0
5248,20170515,송파구,0.023,0.033,0.4,0.004,51.0,13.0
5287,20170516,송파구,0.027999999999999997,0.032,0.5,0.004,39.0,17.0
5326,20170517,송파구,0.036000000000000004,0.031,0.5,0.005,44.0,19.0
5365,20170518,송파구,0.034,0.047,0.5,0.004,55.0,28.0
5404,20170519,송파구,0.034,0.042,0.5,0.005,57.0,27.0
5443,20170520,송파구,0.038,0.035,0.5,0.005,48.0,23.0
5482,20170521,송파구,0.023,0.04,0.4,0.005,33.0,19.0
5521,20170522,송파구,0.031,0.032,0.5,0.005,51.0,30.0
5560,20170523,송파구,0.028999999999999998,0.02,0.4,0.005,41.0,22.0
5599,20170524,송파구,0.026000000000000002,0.022000000000000002,0.5,0.004,29.0,15.0
5638,20170525,송파구,0.025,0.037000000000000005,0.4,0.004,45.0,15.0
5677,20170526,송파구,0.018000000000000002,0.037000000000000005,0.3,0.004,29.0,7.0
5716,20170527,송파구,0.028999999999999998,0.037000000000000005,0.4,0.004,40.0,14.0
5755,20170528,송파구,0.025,0.05,0.5,0.005,53.0,22.0
5794,20170529,송파구,0.027000000000000003,0.057,0.6,0.006999999999999999,79.0,33.0
5833,20170530,송파구,0.028999999999999998,0.044000000000000004,0.5,0.006,56.0,22.0
5872,20170531,송파구,0.038,0.027000000000000003,0.5,0.006,45.0,20.0
5911,20170601,송파구,0.017,0.038,0.4,0.004,46.0,18.0
5950,20170602,송파구,0.016,0.038,0.3,0.004,33.0,9.0
5989,20170603,송파구,0.015,0.04,0.4,0.004,35.0,12.0
6028,20170604,송파구,0.022000000000000002,0.036000000000000004,0.4,0.004,34.0,14.0
6067,20170605,송파구,0.021,0.047,0.4,0.003,29.0,14.0
6106,20170606,송파구,0.013000000000000001,0.045,0.4,0.004,20.0,10.0
6145,20170607,송파구,0.022000000000000002,0.024,0.5,0.003,17.0,9.0
6184,20170608,송파구,0.022000000000000002,0.055,0.6,0.005,44.0,27.0
6223,20170609,송파구,0.025,0.057,0.5,0.005,61.0,34.0
6262,20170610,송파구,0.022000000000000002,0.043,0.5,0.004,52.0,22.0
6301,20170611,송파구,0.02,0.036000000000000004,0.3,0.004,31.0,11.0
6340,20170612,송파구,0.017,0.049,0.3,0.004,33.0,11.0
6379,20170613,송파구,0.024,0.03,0.4,0.004,40.0,16.0
6418,20170614,송파구,0.024,0.04,0.5,0.004,51.0,20.0
6457,20170615,송파구,0.026000000000000002,0.048,0.5,0.005,56.0,23.0
6496,20170616,송파구,0.027999999999999997,0.064,0.6,0.006,75.0,28.0
6535,20170617,송파구,0.027999999999999997,0.064,0.5,0.006,56.0,24.0
6574,20170618,송파구,0.03,0.045,0.5,0.005,50.0,24.0
6613,20170619,송파구,0.038,0.034,0.5,0.005,57.0,25.0
6652,20170620,송파구,0.042,0.044000000000000004,0.6,0.004,63.0,22.0
6691,20170621,송파구,0.027999999999999997,0.04,0.5,0.005,65.0,23.0
6730,20170622,송파구,0.023,0.042,0.4,0.004,43.0,24.0
6769,20170623,송파구,0.037000000000000005,0.040999999999999995,0.5,0.005,51.0,23.0
6808,20170624,송파구,0.048,0.017,0.6,0.005,49.0,22.0
6847,20170625,송파구,0.026000000000000002,0.032,0.6,0.003,36.0,18.0
6886,20170626,송파구,0.02,0.037000000000000005,0.5,0.004,27.0,13.0
6925,20170627,송파구,0.023,0.04,0.5,0.004,33.0,17.0
6964,20170628,송파구,0.028999999999999998,0.040999999999999995,0.6,0.003,51.0,26.0
7003,20170629,송파구,0.03,0.040999999999999995,0.6,0.005,50.0,31.0
7042,20170630,송파구,0.03,0.04,0.6,0.004,50.0,34.0
7081,20170701,송파구,0.027999999999999997,0.031,0.6,0.004,36.0,26.0
7120,20170702,송파구,0.016,0.016,0.4,0.003,19.0,11.0
7159,20170703,송파구,0.018000000000000002,0.027000000000000003,0.5,0.004,19.0,13.0
7198,20170704,송파구,0.024,0.033,0.6,0.003,27.0,21.0
7237,20170705,송파구,0.026000000000000002,0.043,0.7,0.005,35.0,24.0
7276,20170706,송파구,0.034,0.038,0.7,0.004,41.0,28.0
7315,20170707,송파구,0.023,0.016,0.5,0.004,18.0,10.0
7354,20170708,송파구,0.019,0.018000000000000002,0.5,0.004,22.0,13.0
7393,20170709,송파구,0.019,0.018000000000000002,0.6,0.004,23.0,13.0
7432,20170710,송파구,0.023,0.012,0.4,0.005,15.0,7.0
7471,20170711,송파구,0.021,0.035,0.5,0.004,33.0,21.0
7510,20170712,송파구,0.023,0.039,0.6,0.004,43.0,27.0
7549,20170713,송파구,0.028999999999999998,0.037000000000000005,0.7,0.004,48.0,31.0
7588,20170714,송파구,0.026000000000000002,0.034,0.6,0.005,42.0,28.0
7627,20170715,송파구,0.019,0.02,0.4,0.004,17.0,11.0
7666,20170716,송파구,0.016,0.019,0.4,0.004,15.0,9.0
7705,20170717,송파구,0.018000000000000002,0.018000000000000002,0.4,0.004,21.0,12.0
7744,20170718,송파구,0.027000000000000003,0.022000000000000002,0.6,0.005,24.0,19.0
7783,20170719,송파구,0.024,0.043,0.6,0.004,34.0,24.0
7822,20170720,송파구,0.027999999999999997,0.043,0.7,0.006,48.0,34.0
7861,20170721,송파구,0.022000000000000002,0.052000000000000005,0.7,0.006999999999999999,54.0,40.0
7900,20170722,송파구,0.022000000000000002,0.038,0.7,0.006,48.0,39.0
7939,20170723,송파구,0.019,0.028999999999999998,0.6,0.006,37.0,29.0
7978,20170724,송파구,0.028999999999999998,0.013999999999999999,0.7,0.003,31.0,21.0
8017,20170725,송파구,0.017,0.024,0.5,0.004,21.0,13.0
8056,20170726,송파구,0.013000000000000001,0.04,0.4,0.003,15.0,9.0
8095,20170727,송파구,0.025,0.03,0.4,0.004,25.0,14.0
8134,20170728,송파구,0.026000000000000002,0.013000000000000001,0.6,0.004,19.0,14.0
8173,20170729,송파구,0.013999999999999999,0.026000000000000002,0.5,0.004,14.0,7.0
