date,weekday,weekend,rainy,mean_c,O3,PM10,PM25
2017/08/24,Thursday,0.0,1.0,26.0,0.016,18.0,7.0
2017/08/25,Friday,0.0,0.0,26.5,0.022,22.0,10.0
2017/08/26,Saturday,1.0,0.0,24.0,0.023,24.0,10.0
2017/08/27,Sunday,1.0,1.0,23.0,0.016,23.0,12.0
2017/08/28,Monday,0.0,1.0,22.5,0.016,28.0,15.0
2017/08/29,Tuesday,0.0,0.0,20.5,0.022,14.0,8.0
2017/08/30,Wednesday,0.0,0.0,20.0,0.014,26.0,9.0
2017/08/31,Thursday,0.0,0.0,22.5,0.027000000000000003,33.0,18.0
2017/09/01,Friday,0.0,0.0,23.5,0.026,20.0,10.0
2017/09/02,Saturday,1.0,0.0,24.5,0.023,24.0,13.0
2017/09/03,Sunday,1.0,0.0,24.0,0.031,26.0,17.0
2017/09/04,Monday,0.0,0.0,25.0,0.021,27.0,14.0
2017/09/05,Tuesday,0.0,1.0,22.0,0.009000000000000001,25.0,13.0
2017/09/06,Wednesday,0.0,1.0,21.5,0.006999999999999999,26.0,16.0
2017/09/07,Thursday,0.0,0.0,23.0,0.023,34.0,22.0
2017/09/08,Friday,0.0,0.0,25.0,0.025,41.0,25.0
2017/09/09,Saturday,1.0,0.0,23.5,0.027000000000000003,53.0,34.0
2017/09/10,Sunday,1.0,1.0,23.0,0.019,47.0,30.0
2017/09/11,Monday,0.0,1.0,22.0,0.027000000000000003,19.0,13.0
2017/09/12,Tuesday,0.0,0.0,23.0,0.023,25.0,11.0
2017/09/13,Wednesday,0.0,0.0,22.0,0.02,26.0,8.0
2017/09/14,Thursday,0.0,0.0,22.5,0.024,27.0,13.0
2017/09/15,Friday,0.0,0.0,23.0,0.03,16.0,8.0
2017/09/16,Saturday,1.0,0.0,22.5,0.025,10.0,5.0
2017/09/17,Sunday,1.0,0.0,24.0,0.028,8.0,4.0
2017/09/18,Monday,0.0,0.0,22.0,0.023,20.0,10.0
2017/09/19,Tuesday,0.0,1.0,23.0,0.04,59.0,39.0
2017/09/20,Wednesday,0.0,0.0,19.5,0.027000000000000003,21.0,9.0
2017/09/21,Thursday,0.0,0.0,20.5,0.026,26.0,14.0
2017/09/22,Friday,0.0,0.0,21.0,0.033,28.0,18.0
2017/09/23,Saturday,1.0,1.0,22.5,0.03,53.0,25.0
2017/09/24,Sunday,1.0,1.0,23.5,0.035,57.0,35.0
2017/09/25,Monday,0.0,0.0,23.5,0.025,44.0,24.0
2017/09/26,Tuesday,0.0,1.0,25.0,0.026,43.0,23.0
2017/09/27,Wednesday,0.0,1.0,23.5,0.018000000000000002,34.0,18.0
2017/09/28,Thursday,0.0,0.0,19.5,0.03,22.0,7.0
2017/09/29,Friday,0.0,0.0,17.5,0.025,23.0,8.0
2017/09/30,Saturday,1.0,0.0,20.5,0.027000000000000003,33.0,16.0
2017/10/01,Sunday,1.0,1.0,18.5,0.013,29.0,17.0
2017/10/02,Monday,1.0,1.0,22.5,0.029,15.0,9.0
2017/10/03,Tuesday,1.0,0.0,18.5,0.025,33.0,11.0
2017/10/03,Tuesday,1.0,0.0,18.5,0.025,33.0,11.0
2017/10/04,Wednesday,1.0,0.0,17.5,0.028,20.0,8.0
2017/10/05,Thursday,1.0,0.0,18.5,0.023,15.0,7.0
2017/10/06,Friday,1.0,1.0,19.5,0.026,10.0,6.0
2017/10/07,Saturday,1.0,1.0,23.0,0.021,9.0,5.0
2017/10/08,Sunday,1.0,0.0,24.0,0.023,18.0,12.0
2017/10/09,Monday,1.0,1.0,24.0,0.025,25.0,17.0
2017/10/10,Tuesday,0.0,1.0,22.0,0.011,27.0,16.0
2017/10/11,Wednesday,0.0,1.0,17.0,0.021,9.0,6.0
2017/10/12,Thursday,0.0,0.0,11.5,0.011,19.0,9.0
2017/10/13,Friday,0.0,0.0,12.5,0.012,25.0,13.0
2017/10/14,Saturday,1.0,0.0,15.0,0.019,21.0,10.0
2017/10/15,Sunday,1.0,0.0,16.0,0.021,21.0,11.0
2017/10/16,Monday,0.0,0.0,18.0,0.016,27.0,14.0
2017/10/17,Tuesday,0.0,0.0,16.5,0.014,36.0,18.0
2017/10/18,Wednesday,0.0,1.0,16.5,0.018000000000000002,22.0,12.0
2017/10/19,Thursday,0.0,0.0,17.5,0.02,16.0,8.0
2017/10/20,Friday,0.0,0.0,17.5,0.012,26.0,12.0
2017/10/21,Saturday,1.0,0.0,18.0,0.013,35.0,17.0
2017/10/22,Sunday,1.0,0.0,17.5,0.027000000000000003,20.0,10.0
2017/10/23,Monday,0.0,0.0,15.0,0.025,26.0,9.0
2017/10/24,Tuesday,0.0,0.0,15.5,0.012,31.0,13.0
2017/10/25,Wednesday,0.0,0.0,15.5,0.014,39.0,20.0
2017/10/26,Thursday,0.0,0.0,14.5,0.009000000000000001,47.0,25.0
2017/10/27,Friday,0.0,0.0,18.0,0.017,54.0,29.0
2017/10/28,Saturday,1.0,0.0,18.0,0.016,44.0,24.0
2017/10/29,Sunday,1.0,0.0,11.5,0.02,62.0,21.0
2017/10/30,Monday,0.0,0.0,8.0,0.022,36.0,14.0
2017/10/31,Tuesday,0.0,0.0,10.0,0.011,35.0,16.0
2017/11/01,Wednesday,0.0,0.0,15.0,0.019,35.0,19.0
2017/11/02,Thursday,0.0,1.0,16.0,0.023,42.0,25.0
2017/11/03,Friday,0.0,1.0,11.5,0.027000000000000003,33.0,23.0
2017/11/04,Saturday,1.0,0.0,9.5,0.024,46.0,36.0
2017/11/05,Sunday,1.0,0.0,9.0,0.012,42.0,30.0
2017/11/06,Monday,0.0,0.0,12.5,0.01,30.0,19.0
2017/11/07,Tuesday,0.0,1.0,13.5,0.006999999999999999,39.0,22.0
2017/11/08,Wednesday,0.0,1.0,12.0,0.031,56.0,26.0
2017/11/09,Thursday,0.0,0.0,10.5,0.01,50.0,24.0
2017/11/10,Friday,0.0,1.0,10.5,0.015,44.0,20.0
2017/11/11,Saturday,1.0,0.0,7.0,0.018000000000000002,74.0,14.0
2017/11/12,Sunday,1.0,0.0,5.5,0.009000000000000001,32.0,18.0
2017/11/13,Monday,0.0,1.0,7.5,0.005,37.0,22.0
2017/11/14,Tuesday,0.0,0.0,7.0,0.019,39.0,14.0
2017/11/15,Wednesday,0.0,0.0,3.0,0.021,25.0,12.0
