Date,Rate
2018-07-21,48.40764
2018-07-22,44.58598
2018-07-23,16.5605
2018-07-24,23.56687
2018-07-25,17.83439
2018-07-26,29.29936
2018-07-27,35.03184
2018-07-28,31.21019
2018-07-29,33.75796
2018-07-30,24.84076
2018-07-31,22.92993
2018-08-01,46.49681
2018-08-02,48.40764
2018-08-03,37.57961
2018-08-04,36.30573
2018-08-05,28.66242
2018-08-06,18.47133
2018-08-07,36.94267
2018-08-08,47.7707
2018-08-09,57.32484
2018-08-10,56.68789
2018-08-11,40.76433
2018-08-12,42.03821
2018-08-13,27.38853
2018-08-14,36.94267
2018-08-15,31.21019
2018-08-16,26.11464
2018-08-17,14.64968
2018-08-18,10.82802
2018-08-19,5.09554
2018-08-20,6.36942
2018-08-21,3.18471
2018-08-22,7.64331
2018-08-23,3.82165
2018-08-24,3.18471
2018-08-25,0
2018-08-26,8.28025
2018-08-27,8.91719
2018-08-28,6.36942
2018-08-29,5.09554
2018-08-30,0
2018-08-31,0
2018-09-01,0
2018-09-02,0
2018-09-03,8.91719
2018-09-04,15.28662
2018-09-05,13.37579
2018-09-06,15.28662
2018-09-07,8.28025
2018-09-08,9.55414
2018-09-09,37.57961
2018-09-10,40.76433
2018-09-11,18.47133
2018-09-12,18.47133
2018-09-13,15.92356
2018-09-14,12.10191
2018-09-15,12.73885
2018-09-16,12.73885
2018-09-17,14.01273
2018-09-18,21.0191
2018-09-19,25.4777
2018-09-20,29.9363
2018-09-21,33.75796
2018-09-22,28.02547
2018-09-23,29.9363
2018-09-24,12.73885
2018-09-25,28.02547
2018-09-26,31.84713
2018-09-27,34.3949
2018-09-28,33.75796
2018-09-29,72.61146
2018-09-30,100.0
2018-10-01,38.21656
2018-10-02,51.59235
2018-10-03,54.77707
2018-10-04,27.38853
2018-10-05,7.64331
2018-10-06,31.21019
2018-10-07,26.75159
2018-10-08,13.37579
2018-10-09,21.0191
2018-10-10,14.01273
2018-10-11,7.64331
2018-10-12,7.00636
2018-10-13,16.5605
2018-10-14,15.92356
2018-10-15,10.19108
2018-10-16,8.91719
2018-10-17,5.09554
2018-10-18,0
2018-10-19,23.56687
2018-10-20,5.09554
2018-10-21,10.19108
2018-10-22,11.46496
2018-10-23,14.64968
2018-10-24,14.64968
2018-10-25,11.46496
2018-10-26,3.18471
2018-10-27,0
2018-10-28,4.45859
2018-10-29,6.36942
2018-10-30,3.18471
2018-10-31,3.18471
2018-11-01,4.45859
2018-11-02,8.28025
2018-11-03,7.64331
2018-11-04,10.82802
2018-11-05,8.28025
2018-11-06,8.28025
2018-11-07,5.73248
2018-11-08,7.00636
2018-11-09,3.82165
2018-11-10,0
2018-11-11,4.45859
2018-11-12,12.10191
2018-11-13,8.28025
2018-11-14,7.64331
2018-11-15,3.18471
2018-11-16,3.82165
2018-11-17,0
2018-11-18,3.18471
2018-11-19,0
2018-11-20,3.18471
2018-11-21,5.73248
2018-11-22,0
2018-11-23,0
2018-11-24,0
2018-11-25,0
2018-11-26,0
2018-11-27,0
2018-11-28,0
2018-11-29,3.18471
2018-11-30,3.82165
2018-12-01,3.18471
2018-12-02,0
2018-12-03,3.18471
2018-12-04,5.09554
2018-12-05,0
2018-12-06,3.18471
2018-12-07,0
2018-12-08,0
2018-12-09,7.00636
2018-12-10,3.18471
2018-12-11,0
2018-12-12,0
2018-12-13,0
2018-12-14,0
2018-12-15,0
2018-12-16,0
2018-12-17,0
2018-12-18,0
2018-12-19,0
2018-12-20,0
2018-12-21,0
2018-12-22,0
2018-12-23,0
2018-12-24,0
2018-12-25,0
2018-12-26,0
2018-12-27,0
2018-12-28,0
2018-12-29,0
2018-12-30,0
2018-12-31,0
2019-01-01,0
2019-01-02,0
2019-01-03,0
2019-01-04,0
2019-01-05,0
2019-01-06,0
2019-01-07,0
2019-01-08,3.82165
2019-01-09,0
2019-01-10,0
2019-01-11,0
2019-01-12,0
2019-01-13,0
2019-01-14,0
2019-01-15,0
2019-01-16,4.45859
2019-01-17,0
2019-01-18,0
2019-01-19,4.45859
2019-01-20,0
2019-01-21,3.82165
2019-01-22,3.82165
2019-01-23,0
2019-01-24,0
2019-01-25,0
2019-01-26,0
2019-01-27,0
2019-01-28,0
2019-01-29,0
2019-01-30,0
2019-01-31,0
2019-02-01,0
2019-02-02,0
2019-02-03,0
2019-02-04,0
2019-02-05,0
2019-02-06,0
2019-02-07,4.45859
2019-02-08,0
2019-02-09,0
2019-02-10,0
2019-02-11,3.82165
2019-02-12,19.74522
2019-02-13,3.18471
2019-02-14,0
2019-02-15,0
2019-02-16,0
2019-02-17,0
2019-02-18,0
2019-02-19,0
2019-02-20,0
2019-02-21,0
2019-02-22,0
2019-02-23,0
2019-02-24,11.46496
2019-02-25,4.45859
2019-02-26,7.00636
2019-02-27,7.64331
2019-02-28,4.45859
2019-03-01,0
2019-03-02,0
2019-03-03,3.18471
2019-03-04,0
2019-03-05,4.45859
2019-03-06,0
2019-03-07,0
2019-03-08,0
2019-03-09,0
2019-03-10,3.18471
2019-03-11,0
2019-03-12,3.18471
2019-03-13,0
2019-03-14,11.46496
2019-03-15,3.18471
2019-03-16,0
2019-03-17,4.45859
